           ANÁLISE DE FREQUÊNCIA DE PALAVRAS           
Arquivo analisado: kjv-bible.txt
Estrutura utilizada: AVL Tree
Total de palavras únicas: 12965
Tempo total de execução: 1720 ms
Número de comparações: 11609472
Número de rotações: 9931
═══════════════════════════════════════════════════════
Palavra: the, Frequência: 64016
Palavra: exodus, Frequência: 1213
Palavra: because, Frequência: 1209
Palavra: 24, Frequência: 1185
Palavra: after, Frequência: 1180
Palavra: our, Frequência: 1165
Palavra: things, Frequência: 1162
Palavra: luke, Frequência: 1153
Palavra: john, Frequência: 1142
Palavra: or, Frequência: 1132
Palavra: job, Frequência: 1129
Palavra: down, Frequência: 1125
Palavra: sons, Frequência: 1105
Palavra: david, Frequência: 1085
Palavra: matthew, Frequência: 1076
Palavra: 25, Frequência: 1073
Palavra: acts, Frequência: 1073
Palavra: hast, Frequência: 1071
Palavra: o, Frequência: 1065
Palavra: say, Frequência: 1056
Palavra: make, Frequência: 1055
Palavra: 26, Frequência: 1041
Palavra: may, Frequência: 1027
Palavra: over, Frequência: 1008
Palavra: did, Frequência: 1006
Palavra: earth, Frequência: 987
Palavra: what, Frequência: 985
Palavra: jesus, Frequência: 983
Palavra: she, Frequência: 982
Palavra: father, Frequência: 979
Palavra: who, Frequência: 970
Palavra: great, Frequência: 962
Palavra: deuteronomy, Frequência: 959
Palavra: 27, Frequência: 955
Palavra: thine, Frequência: 937
Palavra: name, Frequência: 928
Palavra: proverbs, Frequência: 924
Palavra: any, Frequência: 917
Palavra: away, Frequência: 916
Palavra: among, Frequência: 916
Palavra: put, Frequência: 911
Palavra: thereof, Frequência: 908
Palavra: 28, Frequência: 890
Palavra: forth, Frequência: 888
Palavra: give, Frequência: 880
Palavra: neither, Frequência: 879
Palavra: take, Frequência: 874
Palavra: am, Frequência: 874
Palavra: joshua, Frequência: 874
Palavra: days, Frequência: 868
Palavra: city, Frequência: 868
Palavra: brought, Frequência: 863
Palavra: leviticus, Frequência: 859
Palavra: moses, Frequência: 848
Palavra: two, Frequência: 835
Palavra: heart, Frequência: 830
Palavra: pass, Frequência: 830
Palavra: judah, Frequência: 813
Palavra: jerusalem, Frequência: 811
Palavra: 29, Frequência: 799
Palavra: according, Frequência: 793
Palavra: should, Frequência: 783
Palavra: know, Frequência: 763
Palavra: whom, Frequência: 763
Palavra: nor, Frequência: 756
Palavra: took, Frequência: 752
Palavra: thus, Frequência: 737
Palavra: 30, Frequência: 731
Palavra: bring, Frequência: 727
Palavra: offering, Frequência: 724
Palavra: 31, Frequência: 723
Palavra: good, Frequência: 720
Palavra: place, Frequência: 715
Palavra: mark, Frequência: 715
Palavra: word, Frequência: 697
Palavra: corinthians, Frequência: 696
Palavra: set, Frequência: 695
Palavra: sent, Frequência: 686
Palavra: more, Frequência: 686
Palavra: yet, Frequência: 683
Palavra: again, Frequência: 672
Palavra: judges, Frequência: 670
Palavra: like, Frequência: 669
Palavra: way, Frequência: 664
Palavra: eat, Frequência: 655
Palavra: 32, Frequência: 651
Palavra: mine, Frequência: 650
Palavra: heard, Frequência: 641
Palavra: about, Frequência: 632
Palavra: called, Frequência: 624
Palavra: time, Frequência: 619
Palavra: evil, Frequência: 613
Palavra: holy, Frequência: 611
Palavra: egypt, Frequência: 611
Palavra: see, Frequência: 597
Palavra: own, Frequência: 596
Palavra: 33, Frequência: 594
Palavra: hundred, Frequência: 590
Palavra: spake, Frequência: 588
Palavra: heaven, Frequência: 582
Palavra: done, Frequência: 565
Palavra: brethren, Frequência: 563
Palavra: many, Frequência: 556
Palavra: christ, Frequência: 555
Palavra: hear, Frequência: 550
Palavra: fathers, Frequência: 549
Palavra: thing, Frequência: 549
Palavra: fire, Frequência: 549
Palavra: words, Frequência: 548
Palavra: saw, Frequência: 548
Palavra: how, Frequência: 543
Palavra: 34, Frequência: 542
Palavra: years, Frequência: 539
Palavra: himself, Frequência: 528
Palavra: law, Frequência: 523
Palavra: thousand, Frequência: 521
Palavra: speak, Frequência: 513
Palavra: off, Frequência: 507
Palavra: voice, Frequência: 505
Palavra: spirit, Frequência: 505
Palavra: eyes, Frequência: 501
Palavra: cast, Frequência: 501
Palavra: given, Frequência: 498
Palavra: priest, Frequência: 497
Palavra: art, Frequência: 495
Palavra: answered, Frequência: 492
Palavra: servant, Frequência: 491
Palavra: three, Frequência: 485
Palavra: together, Frequência: 484
Palavra: than, Frequência: 483
Palavra: servants, Frequência: 480
Palavra: ever, Frequência: 476
Palavra: might, Frequência: 475
Palavra: 36, Frequência: 474
Palavra: those, Frequência: 465
Palavra: gave, Frequência: 465
Palavra: other, Frequência: 464
Palavra: through, Frequência: 463
Palavra: seven, Frequência: 463
Palavra: hands, Frequência: 461
Palavra: 35, Frequência: 459
Palavra: soul, Frequência: 458
Palavra: would, Frequência: 451
Palavra: life, Frequência: 450
Palavra: another, Frequência: 448
Palavra: cities, Frequência: 448
Palavra: sin, Frequência: 448
Palavra: blood, Frequência: 447
Palavra: commanded, Frequência: 443
Palavra: side, Frequência: 443
Palavra: daniel, Frequência: 440
Palavra: romans, Frequência: 439
Palavra: first, Frequência: 430
Palavra: peace, Frequência: 429
Palavra: without, Frequência: 426
Palavra: sword, Frequência: 424
Palavra: mouth, Frequência: 424
Palavra: flesh, Frequência: 420
Palavra: 37, Frequência: 419
Palavra: work, Frequência: 419
Palavra: gold, Frequência: 417
Palavra: face, Frequência: 416
Palavra: high, Frequência: 416
Palavra: nehemiah, Frequência: 414
Palavra: revelation, Frequência: 414
Palavra: themselves, Frequência: 409
Palavra: found, Frequência: 403
Palavra: glory, Frequência: 402
Palavra: priests, Frequência: 401
Palavra: where, Frequência: 401
Palavra: sea, Frequência: 400
Palavra: fear, Frequência: 400
Palavra: solomon, Frequência: 398
Palavra: water, Frequência: 396
Palavra: wife, Frequência: 396
Palavra: saul, Frequência: 394
Palavra: under, Frequência: 392
Palavra: 38, Frequência: 384
Palavra: old, Frequência: 380
Palavra: altar, Frequência: 378
Palavra: death, Frequência: 372
Palavra: drink, Frequência: 369
Palavra: brother, Frequência: 367
Palavra: year, Frequência: 367
Palavra: until, Frequência: 366
Palavra: burnt, Frequência: 366
Palavra: head, Frequência: 364
Palavra: midst, Frequência: 364
Palavra: dead, Frequência: 364
Palavra: congregation, Frequência: 364
Palavra: keep, Frequência: 362
Palavra: both, Frequência: 361
Palavra: bread, Frequência: 361
Palavra: woman, Frequência: 360
Palavra: right, Frequência: 359
Palavra: none, Frequência: 358
Palavra: jacob, Frequência: 358
Palavra: 40, Frequência: 357
Palavra: wherefore, Frequência: 348
Palavra: left, Frequência: 348
Palavra: toward, Frequência: 346
Palavra: five, Frequência: 345
Palavra: wicked, Frequência: 344
Palavra: kingdom, Frequência: 342
Palavra: yea, Frequência: 340
Palavra: stood, Frequência: 339
Palavra: chief, Frequência: 338
Palavra: dwell, Frequência: 338
Palavra: taken, Frequência: 338
Palavra: nations, Frequência: 336
Palavra: 39, Frequência: 333
Palavra: sight, Frequência: 333
Palavra: same, Frequência: 332
Palavra: been, Frequência: 331
Palavra: four, Frequência: 328
Palavra: cause, Frequência: 328
Palavra: tabernacle, Frequência: 328
Palavra: peter, Frequência: 324
Palavra: daughter, Frequência: 324
Palavra: hebrews, Frequência: 324
Palavra: die, Frequência: 321
Palavra: silver, Frequência: 320
Palavra: round, Frequência: 320
Palavra: cut, Frequência: 320
Palavra: aaron, Frequência: 319
Palavra: 41, Frequência: 318
Palavra: whose, Frequência: 314
Palavra: pray, Frequência: 313
Palavra: love, Frequência: 310
Palavra: end, Frequência: 307
Palavra: night, Frequência: 307
Palavra: ezra, Frequência: 306
Palavra: righteousness, Frequência: 306
Palavra: wilderness, Frequência: 305
Palavra: blessed, Frequência: 302
Palavra: young, Frequência: 300
Palavra: hosts, Frequência: 299
Palavra: deliver, Frequência: 296
Palavra: judgment, Frequência: 294
Palavra: twenty, Frequência: 293
Palavra: covenant, Frequência: 292
Palavra: delivered, Frequência: 291
Palavra: being, Frequência: 291
Palavra: field, Frequência: 291
Palavra: meat, Frequência: 290
Palavra: spoken, Frequência: 287
Palavra: waters, Frequência: 287
Palavra: world, Frequência: 287
Palavra: turned, Frequência: 287
Palavra: much, Frequência: 287
Palavra: babylon, Frequência: 286
Palavra: surely, Frequência: 284
Palavra: king’s, Frequência: 284
Palavra: mighty, Frequência: 284
Palavra: told, Frequência: 283
Palavra: turn, Frequência: 283
Palavra: why, Frequência: 282
Palavra: cometh, Frequência: 282
Palavra: seed, Frequência: 279
Palavra: laid, Frequência: 279
Palavra: iniquity, Frequência: 278
Palavra: written, Frequência: 277
Palavra: seen, Frequência: 277
Palavra: mercy, Frequência: 276
Palavra: rest, Frequência: 275
Palavra: gate, Frequência: 275
Palavra: stand, Frequência: 274
Palavra: princes, Frequência: 273
Palavra: light, Frequência: 272
Palavra: power, Frequência: 272
Palavra: enemies, Frequência: 270
Palavra: gathered, Frequência: 267
Palavra: 42, Frequência: 266
Palavra: levites, Frequência: 265
Palavra: offerings, Frequência: 265
Palavra: mount, Frequência: 263
Palavra: return, Frequência: 263
Palavra: destroy, Frequência: 261
Palavra: full, Frequência: 260
Palavra: 44, Frequência: 260
Palavra: jews, Frequência: 257
Palavra: very, Frequência: 257
Palavra: feet, Frequência: 256
Palavra: well, Frequência: 256
Palavra: strong, Frequência: 255
Palavra: philistines, Frequência: 255
Palavra: daughters, Frequência: 254
Palavra: only, Frequência: 253
Palavra: fall, Frequência: 252
Palavra: whole, Frequência: 250
Palavra: month, Frequência: 250
Palavra: zechariah, Frequência: 250
Palavra: such, Frequência: 249
Palavra: ten, Frequência: 248
Palavra: praise, Frequência: 248
Palavra: wise, Frequência: 247
Palavra: live, Frequência: 247
Palavra: faith, Frequência: 247
Palavra: mother, Frequência: 245
Palavra: wilt, Frequência: 245
Palavra: seek, Frequência: 244
Palavra: disciples, Frequência: 244
Palavra: gods, Frequência: 244
Palavra: multitude, Frequência: 243
Palavra: fell, Frequência: 243
Palavra: concerning, Frequência: 242
Palavra: little, Frequência: 242
Palavra: tribe, Frequência: 242
Palavra: strength, Frequência: 242
Palavra: prophet, Frequência: 242
Palavra: lay, Frequência: 241
Palavra: lest, Frequência: 240
Palavra: inheritance, Frequência: 239
Palavra: prophets, Frequência: 239
Palavra: righteous, Frequência: 238
Palavra: works, Frequência: 237
Palavra: offer, Frequência: 236
Palavra: truth, Frequência: 235
Palavra: can, Frequência: 235
Palavra: send, Frequência: 234
Palavra: anger, Frequência: 234
Palavra: wisdom, Frequência: 234
Palavra: though, Frequência: 233
Palavra: save, Frequência: 233
Palavra: between, Frequência: 232
Palavra: 43, Frequência: 232
Palavra: some, Frequência: 232
Palavra: wine, Frequência: 231
Palavra: abraham, Frequência: 231
Palavra: ark, Frequência: 230
Palavra: therein, Frequência: 230
Palavra: smote, Frequência: 230
Palavra: shew, Frequência: 228
Palavra: joseph, Frequência: 228
Palavra: morning, Frequência: 227
Palavra: dwelt, Frequência: 226
Palavra: nothing, Frequência: 225
Palavra: war, Frequência: 225
Palavra: pharaoh, Frequência: 225
Palavra: begat, Frequência: 225
Palavra: above, Frequência: 223
Palavra: ecclesiastes, Frequência: 222
Palavra: known, Frequência: 222
Palavra: esther, Frequência: 220
Palavra: 48, Frequência: 219
Palavra: sacrifice, Frequência: 218
Palavra: departed, Frequência: 217
Palavra: tell, Frequência: 217
Palavra: places, Frequência: 215
Palavra: bear, Frequência: 215
Palavra: thyself, Frequência: 215
Palavra: part, Frequência: 214
Palavra: while, Frequência: 214
Palavra: gone, Frequência: 214
Palavra: cubits, Frequência: 213
Palavra: walk, Frequência: 212
Palavra: long, Frequência: 211
Palavra: near, Frequência: 211
Palavra: serve, Frequência: 209
Palavra: fruit, Frequência: 208
Palavra: 46, Frequência: 207
Palavra: doth, Frequência: 207
Palavra: poor, Frequência: 205
Palavra: ways, Frequência: 205
Palavra: temple, Frequência: 204
Palavra: timothy, Frequência: 203
Palavra: 45, Frequência: 202
Palavra: inhabitants, Frequência: 202
Palavra: six, Frequência: 202
Palavra: oil, Frequência: 202
Palavra: tree, Frequência: 201
Palavra: angel, Frequência: 201
Palavra: child, Frequência: 201
Palavra: died, Frequência: 201
Palavra: hosea, Frequência: 200
Palavra: cried, Frequência: 199
Palavra: wrath, Frequência: 198
Palavra: jordan, Frequência: 197
Palavra: slew, Frequência: 196
Palavra: call, Frequência: 196
Palavra: manner, Frequência: 196
Palavra: certain, Frequência: 196
Palavra: song, Frequência: 195
Palavra: unclean, Frequência: 194
Palavra: having, Frequência: 193
Palavra: afraid, Frequência: 193
Palavra: host, Frequência: 192
Palavra: 49, Frequência: 192
Palavra: sat, Frequência: 192
Palavra: ground, Frequência: 192
Palavra: rejoice, Frequência: 192
Palavra: stone, Frequência: 191
Palavra: judge, Frequência: 191
Palavra: yourselves, Frequência: 191
Palavra: door, Frequência: 189
Palavra: twelve, Frequência: 189
Palavra: book, Frequência: 188
Palavra: sheep, Frequência: 187
Palavra: bare, Frequência: 186
Palavra: within, Frequência: 186
Palavra: broken, Frequência: 186
Palavra: returned, Frequência: 185
Palavra: hold, Frequência: 185
Palavra: cannot, Frequência: 184
Palavra: whosoever, Frequência: 183
Palavra: slain, Frequência: 183
Palavra: third, Frequência: 182
Palavra: cry, Frequência: 181
Palavra: beast, Frequência: 180
Palavra: wall, Frequência: 179
Palavra: elders, Frequência: 179
Palavra: country, Frequência: 179
Palavra: began, Frequência: 179
Palavra: number, Frequência: 178
Palavra: women, Frequência: 178
Palavra: stones, Frequência: 178
Palavra: mountains, Frequência: 177
Palavra: commandment, Frequência: 177
Palavra: 119, Frequência: 177
Palavra: throne, Frequência: 176
Palavra: receive, Frequência: 176
Palavra: reigned, Frequência: 176
Palavra: river, Frequência: 175
Palavra: kept, Frequência: 175
Palavra: body, Frequência: 174
Palavra: families, Frequência: 174
Palavra: thirty, Frequência: 174
Palavra: far, Frequência: 173
Palavra: 50, Frequência: 173
Palavra: arose, Frequência: 173
Palavra: ephraim, Frequência: 172
Palavra: 47, Frequência: 172
Palavra: knowledge, Frequência: 172
Palavra: sins, Frequência: 172
Palavra: moreover, Frequência: 171
Palavra: commandments, Frequência: 171
Palavra: whether, Frequência: 171
Palavra: built, Frequência: 170
Palavra: grace, Frequência: 170
Palavra: battle, Frequência: 170
Palavra: second, Frequência: 169
Palavra: knew, Frequência: 169
Palavra: till, Frequência: 169
Palavra: reign, Frequência: 168
Palavra: moab, Frequência: 168
Palavra: 51, Frequência: 167
Palavra: destroyed, Frequência: 167
Palavra: wherein, Frequência: 167
Palavra: could, Frequência: 166
Palavra: joy, Frequência: 165
Palavra: gather, Frequência: 165
Palavra: salvation, Frequência: 164
Palavra: darkness, Frequência: 162
Palavra: benjamin, Frequência: 162
Palavra: here, Frequência: 162
Palavra: throughout, Frequência: 162
Palavra: build, Frequência: 162
Palavra: passed, Frequência: 161
Palavra: sun, Frequência: 160
Palavra: understanding, Frequência: 160
Palavra: received, Frequência: 160
Palavra: able, Frequência: 160
Palavra: filled, Frequência: 159
Palavra: lo, Frequência: 159
Palavra: ephesians, Frequência: 158
Palavra: border, Frequência: 158
Palavra: lifted, Frequência: 158
Palavra: trees, Frequência: 157
Palavra: fifty, Frequência: 157
Palavra: lamentations, Frequência: 157
Palavra: forty, Frequência: 157
Palavra: master, Frequência: 157
Palavra: east, Frequência: 157
Palavra: beasts, Frequência: 156
Palavra: find, Frequência: 156
Palavra: paul, Frequência: 156
Palavra: look, Frequência: 155
Palavra: lie, Frequência: 155
Palavra: back, Frequência: 154
Palavra: born, Frequência: 154
Palavra: vessels, Frequência: 154
Palavra: amos, Frequência: 154
Palavra: hearken, Frequência: 153
Palavra: cattle, Frequência: 153
Palavra: whatsoever, Frequência: 152
Palavra: zion, Frequência: 152
Palavra: ears, Frequência: 151
Palavra: james, Frequência: 151
Palavra: heathen, Frequência: 150
Palavra: galatians, Frequência: 150
Palavra: new, Frequência: 150
Palavra: enter, Frequência: 149
Palavra: arise, Frequência: 149
Palavra: fled, Frequência: 148
Palavra: desolate, Frequência: 148
Palavra: remember, Frequência: 148
Palavra: living, Frequência: 147
Palavra: father’s, Frequência: 147
Palavra: honour, Frequência: 146
Palavra: times, Frequência: 146
Palavra: sake, Frequência: 145
Palavra: thence, Frequência: 145
Palavra: nation, Frequência: 145
Palavra: carried, Frequência: 145
Palavra: gates, Frequência: 144
Palavra: looked, Frequência: 143
Palavra: manasseh, Frequência: 143
Palavra: offered, Frequência: 143
Palavra: believe, Frequência: 143
Palavra: counsel, Frequência: 143
Palavra: south, Frequência: 143
Palavra: rise, Frequência: 142
Palavra: money, Frequência: 140
Palavra: break, Frequência: 140
Palavra: valley, Frequência: 140
Palavra: verily, Frequência: 140
Palavra: wood, Frequência: 140
Palavra: thessalonians, Frequência: 139
Palavra: captain, Frequência: 139
Palavra: joab, Frequência: 138
Palavra: burn, Frequência: 138
Palavra: sabbath, Frequência: 137
Palavra: sanctuary, Frequência: 137
Palavra: mountain, Frequência: 137
Palavra: opened, Frequência: 137
Palavra: houses, Frequência: 136
Palavra: half, Frequência: 136
Palavra: camp, Frequência: 136
Palavra: goeth, Frequência: 135
Palavra: most, Frequência: 135
Palavra: become, Frequência: 135
Palavra: shewed, Frequência: 135
Palavra: witness, Frequência: 135
Palavra: trust, Frequência: 134
Palavra: lord’s, Frequência: 134
Palavra: heavens, Frequência: 133
Palavra: wives, Frequência: 133
Palavra: clean, Frequência: 133
Palavra: statutes, Frequência: 132
Palavra: meet, Frequência: 132
Palavra: must, Frequência: 132
Palavra: north, Frequência: 132
Palavra: beside, Frequência: 132
Palavra: micah, Frequência: 132
Palavra: service, Frequência: 132
Palavra: rose, Frequência: 131
Palavra: answer, Frequência: 131
Palavra: fat, Frequência: 130
Palavra: hid, Frequência: 129
Palavra: stranger, Frequência: 129
Palavra: gentiles, Frequência: 129
Palavra: hope, Frequência: 129
Palavra: tongue, Frequência: 129
Palavra: incense, Frequência: 129
Palavra: hezekiah, Frequência: 128
Palavra: numbered, Frequência: 128
Palavra: isaac, Frequência: 128
Palavra: wickedness, Frequência: 127
Palavra: judgments, Frequência: 127
Palavra: bless, Frequência: 127
Palavra: captivity, Frequência: 127
Palavra: giveth, Frequência: 126
Palavra: help, Frequência: 126
Palavra: appointed, Frequência: 126
Palavra: sought, Frequência: 126
Palavra: kill, Frequência: 126
Palavra: brass, Frequência: 126
Palavra: maketh, Frequência: 126
Palavra: smite, Frequência: 125
Palavra: depart, Frequência: 125
Palavra: samaria, Frequência: 124
Palavra: open, Frequência: 124
Palavra: whither, Frequência: 124
Palavra: chosen, Frequência: 123
Palavra: family, Frequência: 123
Palavra: wind, Frequência: 123
Palavra: feast, Frequência: 123
Palavra: court, Frequência: 122
Palavra: didst, Frequência: 122
Palavra: ashamed, Frequência: 122
Palavra: walked, Frequência: 122
Palavra: man’s, Frequência: 122
Palavra: pieces, Frequência: 121
Palavra: ear, Frequência: 120
Palavra: perish, Frequência: 120
Palavra: seventh, Frequência: 120
Palavra: husband, Frequência: 120
Palavra: rock, Frequência: 119
Palavra: sing, Frequência: 119
Palavra: sinned, Frequência: 119
Palavra: asked, Frequência: 119
Palavra: lips, Frequência: 119
Palavra: captains, Frequência: 119
Palavra: assyria, Frequência: 118
Palavra: myself, Frequência: 118
Palavra: spoil, Frequência: 118
Palavra: jonathan, Frequência: 118
Palavra: get, Frequência: 118
Palavra: generations, Frequência: 118
Palavra: firstborn, Frequência: 117
Palavra: slay, Frequência: 117
Palavra: better, Frequência: 117
Palavra: eye, Frequência: 116
Palavra: seeing, Frequência: 116
Palavra: presence, Frequência: 116
Palavra: believed, Frequência: 116
Palavra: leave, Frequência: 115
Palavra: suburbs, Frequência: 115
Palavra: prayer, Frequência: 114
Palavra: mayest, Frequência: 114
Palavra: fine, Frequência: 113
Palavra: chariots, Frequência: 113
Palavra: sit, Frequência: 113
Palavra: hearts, Frequência: 113
Palavra: tribes, Frequência: 112
Palavra: vain, Frequência: 112
Palavra: 52, Frequência: 112
Palavra: beloved, Frequência: 111
Palavra: desire, Frequência: 111
Palavra: lot, Frequência: 111
Palavra: horses, Frequência: 111
Palavra: flock, Frequência: 111
Palavra: wherewith, Frequência: 110
Palavra: trouble, Frequência: 110
Palavra: heads, Frequência: 110
Palavra: sister, Frequência: 109
Palavra: spread, Frequência: 109
Palavra: ask, Frequência: 109
Palavra: teach, Frequência: 109
Palavra: ghost, Frequência: 109
Palavra: dust, Frequência: 108
Palavra: followed, Frequência: 108
Palavra: alone, Frequência: 108
Palavra: sweet, Frequência: 108
Palavra: worship, Frequência: 108
Palavra: likewise, Frequência: 107
Palavra: cloud, Frequência: 107
Palavra: enemy, Frequência: 107
Palavra: neighbour, Frequência: 107
Palavra: generation, Frequência: 107
Palavra: fight, Frequência: 107
Palavra: entered, Frequência: 107
Palavra: buried, Frequência: 106
Palavra: beginning, Frequência: 106
Palavra: wait, Frequência: 106
Palavra: present, Frequência: 106
Palavra: became, Frequência: 106
Palavra: woe, Frequência: 106
Palavra: possess, Frequência: 106
Palavra: lamb, Frequência: 105
Palavra: eaten, Frequência: 105
Palavra: shut, Frequência: 105
Palavra: philippians, Frequência: 105
Palavra: flee, Frequência: 105
Palavra: covered, Frequência: 105
Palavra: bullock, Frequência: 104
Palavra: linen, Frequência: 104
Palavra: knoweth, Frequência: 104
Palavra: possession, Frequência: 104
Palavra: command, Frequência: 104
Palavra: saved, Frequência: 104
Palavra: bound, Frequência: 104
Palavra: lift, Frequência: 104
Palavra: absalom, Frequência: 104
Palavra: morrow, Frequência: 103
Palavra: garments, Frequência: 103
Palavra: corn, Frequência: 102
Palavra: jeroboam, Frequência: 102
Palavra: oxen, Frequência: 102
Palavra: charge, Frequência: 102
Palavra: prince, Frequência: 102
Palavra: rain, Frequência: 102
Palavra: clothes, Frequência: 101
Palavra: curse, Frequência: 101
Palavra: prepared, Frequência: 101
Palavra: utterly, Frequência: 101
Palavra: gospel, Frequência: 101
Palavra: still, Frequência: 101
Palavra: idols, Frequência: 101
Palavra: iron, Frequência: 101
Palavra: minister, Frequência: 100
Palavra: nigh, Frequência: 100
Palavra: coming, Frequência: 100
Palavra: portion, Frequência: 100
Palavra: gilead, Frequência: 100
Palavra: shame, Frequência: 100
Palavra: ready, Frequência: 100
Palavra: image, Frequência: 100
Palavra: wrought, Frequência: 100
Palavra: bones, Frequência: 99
Palavra: perfect, Frequência: 99
Palavra: bow, Frequência: 99
Palavra: tent, Frequência: 98
Palavra: anointed, Frequência: 98
Palavra: plague, Frequência: 98
Palavra: lion, Frequência: 98
Palavra: sore, Frequência: 98
Palavra: pure, Frequência: 98
Palavra: burned, Frequência: 98
Palavra: egyptians, Frequência: 98
Palavra: riches, Frequência: 98
Palavra: loved, Frequência: 98
Palavra: ruth, Frequência: 98
Palavra: small, Frequência: 97
Palavra: names, Frequência: 97
Palavra: ram, Frequência: 97
Palavra: everlasting, Frequência: 97
Palavra: goats, Frequência: 97
Palavra: nevertheless, Frequência: 97
Palavra: ought, Frequência: 97
Palavra: liveth, Frequência: 96
Palavra: consumed, Frequência: 96
Palavra: famine, Frequência: 96
Palavra: suffer, Frequência: 96
Palavra: doeth, Frequência: 96
Palavra: shekels, Frequência: 96
Palavra: saints, Frequência: 96
Palavra: declare, Frequência: 95
Palavra: colossians, Frequência: 95
Palavra: foot, Frequência: 95
Palavra: thither, Frequência: 95
